brand,img_url,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,ratings_5max
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy05fn1KyhjAkxE03nvTqUXysGijNH7r5PHQPv2jTqY4-NbSAscpThut8FPpk&s,X543MA,15.6, Intel Celeron N4000, Intel UHD Graphics 600, 1 TB HDD,1099,1249,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxVXui-TuqE5Hg1IUuIFDrOW1IqsaejmklJJy9Ow21tO_EIrHWCrCBkSIc3V0&s,Aspire 3 A315-53,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1599,1749,3.7 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl-8LJlBakdD69ytUlH-F6TvxN5AGcLM8J4FzM6PKRILOMOJlpapZ1eTFAV-s&s,Inspiron 15 3582,15.6, Intel Celeron N4000, Intel UHD Graphics 600, 500 GB HDD,1299,1399,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjd9CK3ixQgr847seywkD6S2M0RqVqPKjMBcubwy2UEA_IiRQiUqJSEA6pO1A&s,Inspiron 15 3573,15.6, Intel Celeron N4000, Intel GMA HD, 500 GB HDD,1299,1399,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpay6c7u60LI0h1r3moKln0F9bS-nIvY6WaEfduCLUTHEsqSVnq6UxZYS88w&s,Inspiron 15 5584,15.6, Intel Core i7-8565U, NVIDIA GeForce MX130 (4 GB), 256 GB SSD/1 TB HDD,3999,4099,3.7 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaQ5CYFBhA32EFb6qAiZRD3NEz9ivss2yTtaq7GAb_DhriZgeceh6BlRJEQeg&s,Swift 1 SF114-32-C4GB,14, Intel Celeron N4000, Intel HD Graphics 600, 64 GB (eMMC),1279,1349,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdp0ROsgjcLZUkP2J_0BSEJcZX1O84izDapvMqyxUFHIJ6wPcdWMI62g_9Jg&s,Aspire 3,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1679,1749,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVjOBSzGofa0vALPn_6OPi0iCLgg-sLAemhjFBnNfdHSRtRzSMnE-BDrftJJ0&s,Aspire 3 A315-54,15.6, Intel Core i5-8265U, Intel UHD Graphics 620, 1 TB HDD,1999,1999,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVjOBSzGofa0vALPn_6OPi0iCLgg-sLAemhjFBnNfdHSRtRzSMnE-BDrftJJ0&s,Aspire 3 A315-54,15.6, Intel Core i5-8265U, Intel UHD Graphics 620, 1 TB HDD,1999,1999,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz_hdgs1eemBXRWd0kzGYdTU5l69czXIfNuJg8u-hDiGGF9bqeCIWQvrecEw&s,Aspire 5 A515-54G,15.6, Intel Core i7-8565U, NVIDIA GeForce MX250 (2 GB), 1 TB HDD,3099,3099,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf3VrZcO-7zevKiTWZ8otvcxcGaT7MjCY83hGdRJJhB07ZRFDlrjaNl87twdQ&s,Pavilion 15-cs2012nx,15.6, Intel Core i7-8565U, NVIDIA GeForce GTX 1050 (3 GB), 512 GB NVMe M.2 SSD,4549,4549,0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR86paskES58YfEFI_0b12TTLlkLNuIeM7eW2euOpZftEmNIQd6EcB7OlXGtQ&s,ZenBook S13 UX392FN,13.9, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 1 TB PCIe NVMe M.2 SSD,6999,6999,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6JPAu1K9Ld7aIHCTYfmE7ws_EyNJvV66dagYT_a_eplnKlrDX2G_u3alPZmg&s,Pavilion 15-cs2011nx,15.6, Intel Core i5-8265U, NVIDIA GeForce MX130 (2 GB), 1 TB HDD,2799,2799,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 128 GB SSD,5649,5649,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 128 GB SSD,5649,5649,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 256 GB SSD,6499,6499,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4799,4799,3.9 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4799,4799,3.9 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4799,4799,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5649,5649,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5649,5649,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5649,5649,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 645, 256 GB SSD,6499,6499,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcCCvG-ntsxjDHQTEGnZNdTCUfh_V-rSarXugG-BW_FtFctMhPVBMP2z8Dpg&s,Stream 14-cb003nx,14, Intel Celeron N3060, Intel HD Graphics 400, 32 GB (eMMC),1049,1049,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),13.3, Intel Core i5 Dual Core, Intel Iris Plus Graphics 640, 128 GB SSD,5669,5669,4.9 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMlaDuq1-YlLYzU17eURaZYfY-0EoNDTrCMO3d3feuGpHY-AbQJwh_qCrJ42U&s,Aspire 1 A114-31-C6WP,14, Intel Celeron N3350, Intel HD Graphics 505, 64 GB (eMMC),999,999,0 / 5
Microsoft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXGz74vrAP3GMvvSkvHBcdmREC-Ocb39Ah72XwJong5oEEFnUOK8BkdDnoEH0&s,Surface,13.5, Intel Core i5-7200U, Intel HD Graphics 620, 256 GB SSD,5799,5799,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0KfKanrKyf4fEgzVMj-agP5GhurAvr6xOVamA-dASuipTlJsx7x84dudYSo0&s,ENVY 13-ah0006nx,13.3, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 512 GB PCIe NVMe M.2 SSD,4939,4939,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaQ5CYFBhA32EFb6qAiZRD3NEz9ivss2yTtaq7GAb_DhriZgeceh6BlRJEQeg&s,Swift 1 SF114-32-C4GB,14, Intel Celeron N4000, Intel HD Graphics 600, 64 GB (eMMC),1349,1349,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn53Q1X5Qp-3JsJEAQfurBILsEP-RSuA6lt-_Y5QNLaKbhv7KAJ5V7bZU8FQ&s,Aspire 1 A114-31,14, Intel Celeron N3350, Intel HD Graphics 500, 64 GB (eMMC),999,999,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFeczKXWvBQqDry1n894wBeOov69CLjWs6WjCRdnM8lvd_gfI7y7WwsjAWybU&s,XPS 13 9370,13.3, Intel Core i7-8550U, Intel UHD Graphics 620, 1 TB SSD,8099,8099,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8t0qqfa3RKiCCrPKwFklsmPeGqvzsrQy7aCTagblU8BmAHFk2a_i49PNDbQ&s,Vostro 5471,14, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2949,2949,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0mlG3FK1uvjyqb1JTjZ_r_JJBA0xS2rZ5gk-VqGtE33emxZcdpYQqevOO-DY&s,Spectre 13-af001nx,13.3, Intel Core i5-8250U, Intel UHD Graphics 620, 512 GB (PCIe Flash),6299,6299,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy51MhGW1CVclgmaKjzbCndmyo5As1cxJQ7ewqlX244fnnHeR3VJ1H9DzQVO0&s,XPS 13 9380,13.3, Intel Core i7-8565U, Intel UHD Graphics 620, 1 TB SSD,8099,8099,4.4 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqmf-brFzAbCBpCPOh98kQb3VwApToZnRu4XoQY-2UU1U-yrHc7LixqBl0Pcg&s,ENVY 13-ah0001nx,13.3, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 512 GB PCIe NVMe M.2 SSD,4939,4939,4.0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),13.3, Intel Core i5 Dual Core, Intel Iris Plus Graphics 640, 256 GB SSD,6499,6499,4.6 / 5
Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2P_-2c_OKUDY4ltrf__v060DoTUyw-X178_Go-0S7UBhebk8l_HijZcMHdYw&s,IdeaPad 330-15IGM,15.6, Intel Celeron N4000, Intel HD Graphics 600, 500 GB HDD,1359,1359,3.9 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIcd8Dki0nd8GZ_g0xx_u8bjLD7A5M0JnvgqTBpJaPd9gqWQHSWWBMwBEIDZ4&s,ENVY 13-ah0002nx,13.3, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 1 TB PCIe NVMe M.2 SSD,6299,6299,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMuJI48htHicdWYcSHvDVuLv9QxupWSSRLxYzAMLnhQyMcF8mDUwDEd2IWlw&s,XPS 13 9360,13.3, Intel Core i5-8250U, Intel GMA HD, 256 GB PCIe NVMe M.2 SSD,4899,4899,4.3 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8t0qqfa3RKiCCrPKwFklsmPeGqvzsrQy7aCTagblU8BmAHFk2a_i49PNDbQ&s,Vostro 5471,14, Intel Core i5-8250U, AMD Radeon 530 (4 GB), 128 GB SSD/1 TB HDD,3599,3599,3.8 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmvqJgv158IOmJqumBnogj9nXdjt13r6hOKPRwx79_8EFYjbwO0dAI5MnkveA&s,Inspiron 13 5370,13.3, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 256 GB SSD,3149,3149,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxVXui-TuqE5Hg1IUuIFDrOW1IqsaejmklJJy9Ow21tO_EIrHWCrCBkSIc3V0&s,Aspire 3 A315-53,15.6, Intel Core i5-7200U, NVIDIA GeForce MX130 (2 GB), 1 TB HDD,2249,2249,3.7 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK5frU32WrNilycuC3zkw0v9lP-I5u1deyyaj6sz4Qy6AOWDTNAy3B8FLAs1c&s,Vostro 5481,14, Intel Core i5-8265U, NVIDIA GeForce MX130 (2 GB), 128 GB PCIe NVMe M.2 SSD/1 TB HDD,3399,3399,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK5frU32WrNilycuC3zkw0v9lP-I5u1deyyaj6sz4Qy6AOWDTNAy3B8FLAs1c&s,Vostro 5481,14, Intel Core i7-8565U, NVIDIA GeForce MX130 (2 GB), 128 GB PCIe NVMe M.2 SSD/1 TB HDD,3899,3899,0 / 5
Microsoft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpjCgf60nh_e6KSH2WCiibScWd_pdOafPwjS6XULJTKZeVpMM5g7psmDeEd08&s,Surface 2,13.5, Intel Core i5-8250U, Intel UHD Graphics 620, 128 GB SSD,4199,4199,4.1 / 5
Microsoft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpjCgf60nh_e6KSH2WCiibScWd_pdOafPwjS6XULJTKZeVpMM5g7psmDeEd08&s,Surface 2,13.5, Intel Core i5-8250U, Intel UHD Graphics 620, 256 GB SSD,5399,5399,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6eUrJLG-DDaafbmA9MIBX5EGMT9ybi3CU2TZwEGV4zTNXkKyP-m1paSuI-c8&s,Stream 14-cb104nx,14, Intel Celeron N4000, Intel UHD Graphics 600, 64 GB (eMMC),1099,1099,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy-0vbG-TRkGUWpqdAICB6DBrn6DYiOgldlChuPcDCtxpuA0j8U5yd7WoErSQ&s,Inspiron 14 5480,14, Intel Core i7-8565U, NVIDIA GeForce MX250 (2 GB), 128 GB SSD/1 TB HDD,4099,4099,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 555X GDDR5 (4 GB), 256 GB SSD,10799,10799,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i9, Radeon Pro 560X GDDR5 (4 GB), 512 GB SSD,12499,12499,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 256 GB SSD,7999,7999,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 512 GB SSD,8699,8699,0 / 5
MSI,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReT3p6OGJfGpgwaqq12XU0kj93n-rNAjXP3UJG62dNbdeeptquiIrzeS76CPg&s,GT83VR 7RF Titan SLI,18.4, Intel Core i7-7820HK, NVIDIA GeForce GTX 1080 (8 GB) SLI, 256 GB SSD (Super Raid)/1 TB HDD,9071,9071,0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx8Prxhzy3iCcZML8vdp5qm7EjqzDrairUbB2kzumplOSFlOZvlAnZ8GsyMZI&s,ROG G752VS,17.3, Intel Core i7-7700HQ, NVIDIA GeForce GTX 1070 (8 GB), 256 GB SSD/1 TB HDD,8189,8189,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzFe3yvIgwiTor8PRhI7s907rntrngpEMDkvTuRJUAsZpERaGreCgHJNjucoU&s,Predator 17 GX791 78ND,17.3, Intel Core i7-6700HQ, NVIDIA GeForce GTX 980M (8 GB), 256 GB SSD/1 TB HDD,7507,7507,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),15.4, Intel Core i7 Quad Core, AMD Radeon R9-M370X (2 GB), 512 GB SSD,6824,6824,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTr9zhKDRVGzSX5xkr6cpIrC6iVKfoBPaNdhBFRqyumO9_ALLSkNzwr6sC0g&s,Alienware 15,15.6, Intel Core i7-7820HK, NVIDIA GeForce GTX 1080 (8 GB), 256 GB SSD/1 TB HDD,6688,6688,3.7 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6sL5yUVldDu3l2zDKMseuB3srt3mG_5tAHd8GoPhl-Dcl44ROCKY4AvcQvmA&s,XPS 15,15.6, Intel Core i7-7700HQ, NVIDIA GeForce GTX 1050 (4 GB), 1 TB HDD,6483,6483,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 Quad Core, Radeon Pro 555 GDDR5 (2 GB), 256 GB SSD,7679,7679,4.6 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMcQ7NXhY-5qIMwmJoglZzFUkvTsQe0-htTy4iFVzNFC0PmIPxbBAZ42FjR6c&s,ENVY 13-ab002nx,13.3, Intel Core i7-7500U, Intel HD Graphics 620, 1 TB PCIe NVMe M.2 SSD,4249,4249,0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCJNcyTeJvlu9uOW7g5SONaFw1OMvlXITH1vyE5lkp5oOdcIJ-7knMk3G-KQ&s,ZenBook UX433FN,14, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 512 GB SSD,3799,4999,4.4 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 560X GDDR5 (4 GB), 512 GB SSD,10699,11899,4.4 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNRRaA1qAuyL-0uShp11H2_jGMMoCcNzserjZKTJSvf8Qm9GU9ti9TsKj4ug&s,ENVY 13-ad002nx,13.3, Intel Core i7-7500U, Intel Graphics 620, 512 GB PCIe NVMe M.2 SSD,3539,3539,4.1 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook,12, Intel Core M3, Intel HD Graphics 615, 256 GB SSD,4669,5669,5.0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_txOrixCkyGxvGmfkM_AtCd3gheIZSX9CCpePsegn4hOwlj4cEpen6ZgVyVA&s,Pavilion 15-cs0006nx,15.6, Intel Core i7-8550U, NVIDIA GeForce MX150 (4 GB), 128 GB M.2 SSD/1 TB HDD,2979,3779,3.9 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ6C7SZStiFGqgalXoLVbrKX9m5VOFiP7OobHSYiNUyuYHEtoPEo00n-ez&s,VivoBook 15 X510UF,15.6, Intel Core i7-8550U, NVIDIA GeForce MX130 (2 GB), 128 GB M.2 SSD/1 TB HDD,2599,3299,0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmLE4MJ8f9ecojD4Wp0JbeBnf68RBbaSYwNmq6TAJs2bHD9h65cYAeGFFn6bY&s,VivoBook S430,14, Intel Core i5-8250U, NVIDIA GeForce MX130 (2 GB), 256 GB M.2 SSD/1 TB HDD,2499,3199,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ48yj4IIG5KTHzlXD-OqCfdkTG_RvDvRJGRPgASmuXVThx-lWfkdfU-3lGwHA&s,Pavilion 15-cs0001nx,15.6, Intel Core i5-8250U, NVIDIA GeForce MX130 (2 GB), 16 GB (Optane)/1 TB HDD,2409,3049,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5FSI7hO9oKUOIeVg1SbAeQ5qEp4Xm7sJ2mBYDN2yxAcUKOqXh9WWWpVXeQw&s,Pavilion 15-cs0000nx,15.6, Intel Core i5-8250U, NVIDIA GeForce MX130 (2 GB), 16 GB (Optane)/1 TB HDD,2409,3049,0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbxubWqpD-2ZZ4UvrCeVZIJo17jFvLMaS5-TA0F9GZVxQosGu5HwEk4RiEIkU&s,Swift 3 SF314-54G-87HB,14, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 1 TB HDD,3399,3899,0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrGMEsgE0zUx8LJFmfXkUVeJ2dEE_An3cicDEtC7n5t198c9fDEREXZbyn9g&s,VivoBook 15 X507UB,15.6, Intel Core i5-8250U, NVIDIA GeForce MX110 (2 GB), 128 GB SSD/1 TB HDD,2099,2599,0 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcwVCoGoEhbs2ozSNpNC7W4VgJ_1sL_ZM06i-TEVDDGLUs3wk8MjapS4z9HA&s,15-bs150nx,15.6, Intel Core i3-5005U, Intel GMA HD, 500 GB HDD,1199,1199,0 / 5
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbKVT0EXbo2wa9UbPqhvXtGrua0ID_jX_X7SyZFCUjabjRYrvTgHcAEDOJ_OI&s,Inspiron 3567,15.6, Intel Core i3-6006U, Intel GMA HD, 1 TB HDD,1429,1429,0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),13.3, Intel Core i5 Dual Core, Intel Iris Plus Graphics 640, 128 GB SSD,5269,5669,4.6 / 5
Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3EF0H-b6xAZwNBt6u_Hjs-7ktWUWVCsYWk-Q22I81d3mqGRSDxLJCTrjns9A&s,IdeaPad 330S-15IKB,15.6, Intel Core i5-8250U, AMD Radeon 535 (2 GB), 1 TB HDD,2169,2519,4.0 / 5
Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsXbS6CvZwAChz9QQ9QUJJdXAjI90cukYkiX_pi8zBMFsdXpYBM0cFivI-0Hs&s,Aspire 3 A315-53-34CE,15.6, Intel Core i3-7020U, Intel Graphics 620, 1 TB HDD,1239,1549,4.0 / 5
Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtS9qCr2FDYRzIYuNAtkkM_qLhIIdaGjcK7vw2DVPE2Gud2pBBfCIVDNspUAw&s,VivoBook 15 X540UA,15.6, Intel Core i5-8250U, Intel HD Graphics 620, 1 TB HDD,1599,1899,5.0 / 5
Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2P_-2c_OKUDY4ltrf__v060DoTUyw-X178_Go-0S7UBhebk8l_HijZcMHdYw&s,IdeaPad 330-15IGM,14, Intel Core i3-8130U, Intel HD Graphics 620, 2 TB HDD,1589,1889,3.6 / 5
Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYwdGgbYFQchfi2y4IEXZvlWDv93BCZh62bJ9Qqxr2JNb2u87TlfWVx3BFg&s,IdeaPad 330S-14IKB,14, Intel Core i5-8250U, Intel UHD Graphics 620, 1 TB HDD,1849,2099,3.3 / 5
Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYwdGgbYFQchfi2y4IEXZvlWDv93BCZh62bJ9Qqxr2JNb2u87TlfWVx3BFg&s,IdeaPad 330S-14IKB,14, Intel Core i3-8130U, Intel HD Graphics 620, 2 TB HDD,1699,1889,3.3 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdIDNlphDgWNRnhXnQagzq_o4P9FNE-868SE1ZN1WekgO4zslaJwCb5CZhFQ&s,14-bp101nx,14, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2519,2519,5.0 / 5
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),15.4, Intel Core i7 Quad Core, Intel Iris Pro Graphics, 256 GB SSD,8189,8189,4.5 / 5
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUcxwUCgukDAoy_NC_G23AolgLzAAuAvNrWuwyg2EL4ISuRsl23UXd5BR2IAQ&s,14-ck0008nx,14, Intel Celeron N4000, Intel HD Graphics 600, 500 GB HDD,1369,1369,0 / 5
